CG beads number:   37,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 14,  step:  4000,     T:130.0,    Energy: 78.646759 kcal/mol
thread: 13,  step:  4000,     T:120.0,    Energy: 80.700424 kcal/mol
thread: 12,  step:  4000,     T:110.0,    Energy: 147.775574 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 46.189995 kcal/mol
thread: 10,  step:  4000,     T: 94.0,    Energy: 120.013542 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 50.782448 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 79.167892 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 72.097885 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 138.333435 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 58.563400 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 66.332062 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 37.758148 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 31.652912 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 36.173965 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 88.816940 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 74.943161 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 41.530224 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 73.088730 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 133.922241 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 70.654915 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 37.228577 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 135.321640 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 130.174072 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 63.323215 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 71.983063 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 35.253624 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 33.945347 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 76.751740 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 59.018295 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 104.586777 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 38.867294 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 34.412037 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 114.412659 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 64.974327 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 99.696129 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 58.055653 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 70.218567 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 37.783455 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 39.731972 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 60.229313 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 35.725048 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 72.194389 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 142.315521 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 78.919945 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 57.291798 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 40.596901 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 120.385292 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 112.930275 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 35.125317 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 123.727440 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 66.426651 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 63.820347 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 46.647724 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 35.436687 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 70.356071 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 69.892319 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 131.270432 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 53.720547 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 34.342911 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 35.974735 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 64.858803 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 49.338348 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 58.082603 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 33.767918 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 77.942268 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 114.655945 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 84.596786 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 35.222210 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 82.321587 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 29.787750 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 106.845291 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 122.049995 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 65.096588 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 41.537960 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 45.294834 kcal/mol
thread: 7,  step: 10000,     T: 71.0,    Energy: 74.610176 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 34.912441 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 21.602045 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 35.120346 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 77.614105 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 29.622595 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 72.902939 kcal/mol
thread: 5,  step:  9000,     T: 55.0,    Energy: 35.700909 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 56.494820 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 92.661079 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 94.094986 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 22.695663 kcal/mol
thread: 14,  step:  9000,     T:130.0,    Energy: 87.576340 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 110.743011 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 49.946846 kcal/mol
thread: 7,  step: 11000,     T: 71.0,    Energy: 30.501354 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 21.966677 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 25.065081 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 46.152119 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 29.024435 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 28.811951 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 33.654617 kcal/mol
thread: 3,  step: 11000,     T: 43.0,    Energy: 52.510773 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 28.399031 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 30.440624 kcal/mol
thread: 14,  step: 10000,     T:130.0,    Energy: 66.146622 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 105.465691 kcal/mol
