500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 1 0
500 0 0
1000 0 0
1500 1 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 1 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 2 2
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 1 0
3500 0 0
4000 0 0
4500 0 0
5000 1 0
500 0 0
1000 2 1
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 1 1
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 1 1
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 1 0
4500 0 0
5000 0 0
