CG beads number:   49,  the thread number:   16
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread: 14,  step:  5000,     T:130.0,    Energy: 22.533834 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 22.520082 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 34.585098 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 30.148333 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 44.186260 kcal/mol
thread: 8,  step:  4000,     T: 78.0,    Energy: 20.362783 kcal/mol
thread: 11,  step:  4000,     T:102.0,    Energy: 38.066208 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 38.250427 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 42.598629 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 28.976910 kcal/mol
thread: 10,  step:  4000,     T: 94.0,    Energy: 49.372250 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 17.719902 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 44.339027 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 33.055603 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 23.365210 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 25.891502 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 9.687025 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 26.893631 kcal/mol
thread: 12,  step:  4000,     T:110.0,    Energy: 29.664293 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 19.376417 kcal/mol
thread: 6,  step:  5000,     T: 63.0,    Energy: 24.440674 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 36.461731 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 40.598900 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 20.315783 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 20.010950 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 28.048674 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 11.688284 kcal/mol
thread: 4,  step:  8000,     T: 49.0,    Energy: 12.926868 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 17.722891 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 31.399517 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 28.870304 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 32.154434 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 29.688051 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 30.782745 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 13.562151 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 29.380276 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 22.268433 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 36.912788 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 13.276367 kcal/mol
thread: 7,  step:  9000,     T: 71.0,    Energy: 35.937828 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 26.623632 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 19.045134 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 24.488565 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 24.898283 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 23.885237 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 26.522009 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 40.164917 kcal/mol
thread: 5,  step:  8000,     T: 55.0,    Energy: 22.038235 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 18.379559 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 24.824100 kcal/mol
