CG beads number:   49,  the thread number:   16
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread: 15,  step:  6000,     T:  0.0,    Energy: 30.208826 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 29.846319 kcal/mol
thread: 7,  step:  4000,     T: 71.0,    Energy: 33.541721 kcal/mol
thread: 8,  step:  4000,     T: 78.0,    Energy: 30.581808 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 29.725777 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 24.375454 kcal/mol
thread: 1,  step:  4000,     T: 31.0,    Energy: 41.216320 kcal/mol
thread: 2,  step:  4000,     T: 37.0,    Energy: 36.467793 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 49.514572 kcal/mol
thread: 9,  step:  4000,     T: 86.0,    Energy: 40.038887 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 24.897856 kcal/mol
thread: 11,  step:  4000,     T:102.0,    Energy: 34.314926 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 18.851345 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 29.876202 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 5.857472 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 13.585963 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 12.624616 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 27.129786 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 25.476980 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 24.373520 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 32.090031 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 30.861408 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 29.130093 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 35.051052 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 45.121517 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 26.006992 kcal/mol
thread: 13,  step:  8000,     T:120.0,    Energy: 27.913517 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 19.329472 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 21.173775 kcal/mol
thread: 1,  step:  5000,     T: 31.0,    Energy: 36.643089 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 33.629070 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 26.232557 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 11.935176 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 16.836357 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 38.291962 kcal/mol
thread: 6,  step:  9000,     T: 63.0,    Energy: 15.946077 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 31.462210 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 25.403357 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 27.997757 kcal/mol
thread: 13,  step:  9000,     T:120.0,    Energy: 20.538855 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 18.536552 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 32.821705 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 25.108526 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 23.803522 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 32.491680 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 11.510201 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 21.025183 kcal/mol
thread: 7,  step:  8000,     T: 71.0,    Energy: 26.458603 kcal/mol
