CG beads number:   37,  the thread number:   16
thread:  5,  CNa = 0.000000,  CMg = 0.000000, t0 = 55.000000
thread: 10,  step:  5000,     T: 94.0,    Energy: 53.318623 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 46.875523 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 34.231960 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 52.481197 kcal/mol
thread: 11,  step:  5000,     T:102.0,    Energy: 39.810474 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 50.428097 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 60.792908 kcal/mol
thread: 9,  step:  5000,     T: 86.0,    Energy: 41.281021 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 45.622818 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 62.947712 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 41.860191 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 47.131325 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 44.870338 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 50.851395 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 45.706875 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 48.060818 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 20.141380 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 53.212090 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 48.793976 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 63.799469 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 50.142670 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 46.333832 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 65.254440 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 45.724106 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 41.313442 kcal/mol
thread: 9,  step:  6000,     T: 86.0,    Energy: 45.232075 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 54.951691 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 45.686161 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 57.803360 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 52.334415 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 39.798981 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 37.749207 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 47.014046 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 38.573589 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 40.990486 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 49.083286 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 43.554817 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 54.458992 kcal/mol
