CG beads number:   40,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 8,  step:  4000,     T: 78.0,    Energy: 118.160194 kcal/mol
thread: 13,  step:  4000,     T:120.0,    Energy: 169.156860 kcal/mol
thread: 0,  step:  5000,     T: 25.0,    Energy: 42.202286 kcal/mol
thread: 15,  step:  5000,     T:  0.0,    Energy: 121.474762 kcal/mol
thread: 11,  step:  6000,     T:102.0,    Energy: 99.949387 kcal/mol
thread: 2,  step:  5000,     T: 37.0,    Energy: 43.524349 kcal/mol
thread: 3,  step:  5000,     T: 43.0,    Energy: 147.434982 kcal/mol
thread: 10,  step:  5000,     T: 94.0,    Energy: 195.154144 kcal/mol
thread: 14,  step:  5000,     T:130.0,    Energy: 116.026077 kcal/mol
thread: 5,  step:  5000,     T: 55.0,    Energy: 125.919296 kcal/mol
thread: 12,  step:  5000,     T:110.0,    Energy: 69.332596 kcal/mol
thread: 9,  step:  7000,     T: 86.0,    Energy: 155.046860 kcal/mol
thread: 4,  step:  4000,     T: 49.0,    Energy: 76.171906 kcal/mol
thread: 13,  step:  5000,     T:120.0,    Energy: 158.922943 kcal/mol
thread: 7,  step:  5000,     T: 71.0,    Energy: 89.989304 kcal/mol
thread: 11,  step:  7000,     T:102.0,    Energy: 112.303879 kcal/mol
thread: 2,  step:  6000,     T: 37.0,    Energy: 44.360931 kcal/mol
thread: 6,  step:  6000,     T: 63.0,    Energy: 47.523991 kcal/mol
thread: 3,  step:  6000,     T: 43.0,    Energy: 124.951134 kcal/mol
thread: 10,  step:  6000,     T: 94.0,    Energy: 193.660080 kcal/mol
thread: 1,  step:  6000,     T: 31.0,    Energy: 180.719284 kcal/mol
thread: 15,  step:  6000,     T:  0.0,    Energy: 105.699295 kcal/mol
thread: 0,  step:  6000,     T: 25.0,    Energy: 29.760897 kcal/mol
thread: 8,  step:  5000,     T: 78.0,    Energy: 109.891396 kcal/mol
thread: 12,  step:  6000,     T:110.0,    Energy: 52.840393 kcal/mol
thread: 4,  step:  5000,     T: 49.0,    Energy: 70.458229 kcal/mol
thread: 14,  step:  6000,     T:130.0,    Energy: 171.767258 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 183.167587 kcal/mol
thread: 11,  step:  8000,     T:102.0,    Energy: 101.210213 kcal/mol
thread: 10,  step:  7000,     T: 94.0,    Energy: 188.689377 kcal/mol
thread: 5,  step:  6000,     T: 55.0,    Energy: 121.943680 kcal/mol
thread: 7,  step:  6000,     T: 71.0,    Energy: 102.614182 kcal/mol
thread: 1,  step:  7000,     T: 31.0,    Energy: 175.342804 kcal/mol
thread: 3,  step:  7000,     T: 43.0,    Energy: 104.695717 kcal/mol
thread: 15,  step:  7000,     T:  0.0,    Energy: 126.435776 kcal/mol
thread: 13,  step:  6000,     T:120.0,    Energy: 127.500687 kcal/mol
thread: 8,  step:  6000,     T: 78.0,    Energy: 100.757500 kcal/mol
thread: 2,  step:  7000,     T: 37.0,    Energy: 43.333050 kcal/mol
thread: 12,  step:  7000,     T:110.0,    Energy: 61.956608 kcal/mol
thread: 4,  step:  6000,     T: 49.0,    Energy: 62.744110 kcal/mol
thread: 6,  step:  7000,     T: 63.0,    Energy: 59.154285 kcal/mol
thread: 0,  step:  7000,     T: 25.0,    Energy: 47.259789 kcal/mol
thread: 10,  step:  8000,     T: 94.0,    Energy: 194.092453 kcal/mol
thread: 11,  step:  9000,     T:102.0,    Energy: 95.450920 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 176.674881 kcal/mol
thread: 3,  step:  8000,     T: 43.0,    Energy: 104.061539 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 145.656387 kcal/mol
thread: 14,  step:  7000,     T:130.0,    Energy: 155.962479 kcal/mol
thread: 8,  step:  7000,     T: 78.0,    Energy: 94.820595 kcal/mol
thread: 12,  step:  8000,     T:110.0,    Energy: 60.690907 kcal/mol
thread: 7,  step:  7000,     T: 71.0,    Energy: 86.607079 kcal/mol
thread: 4,  step:  7000,     T: 49.0,    Energy: 51.698566 kcal/mol
thread: 0,  step:  8000,     T: 25.0,    Energy: 44.533085 kcal/mol
thread: 5,  step:  7000,     T: 55.0,    Energy: 120.156403 kcal/mol
thread: 15,  step:  8000,     T:  0.0,    Energy: 85.536392 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 168.986572 kcal/mol
thread: 11,  step: 10000,     T:102.0,    Energy: 77.817421 kcal/mol
thread: 10,  step:  9000,     T: 94.0,    Energy: 190.802155 kcal/mol
thread: 3,  step:  9000,     T: 43.0,    Energy: 95.130280 kcal/mol
thread: 13,  step:  7000,     T:120.0,    Energy: 115.614861 kcal/mol
thread: 2,  step:  8000,     T: 37.0,    Energy: 36.425388 kcal/mol
thread: 6,  step:  8000,     T: 63.0,    Energy: 49.597225 kcal/mol
thread: 12,  step:  9000,     T:110.0,    Energy: 61.922054 kcal/mol
thread: 8,  step:  8000,     T: 78.0,    Energy: 92.136719 kcal/mol
thread: 14,  step:  8000,     T:130.0,    Energy: 133.079315 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 40.111004 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 166.108414 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 162.870331 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 38.407043 kcal/mol
thread: 3,  step: 10000,     T: 43.0,    Energy: 85.235703 kcal/mol
thread: 10,  step: 10000,     T: 94.0,    Energy: 179.073578 kcal/mol
