CG beads number:   37,  the thread number:   16
thread:  3,  CNa = 0.000000,  CMg = 0.000000, t0 = 45.000000
thread: 9,  step:  9000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 3,  step:  9000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 4,  step: 10000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 5,  step:  9000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 2,  step:  9000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 8,  step:  9000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 13,  step: 10000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 12,  step: 10000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 7,  step: 11000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 14,  step:  9000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 0,  step:  9000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 11,  step: 11000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 10,  step: 11000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 6,  step:  9000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 15,  step:  9000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 4,  step: 11000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 5,  step: 10000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 3,  step: 10000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 9,  step: 10000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 2,  step: 10000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 13,  step: 11000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 7,  step: 12000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 8,  step: 10000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 12,  step: 11000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 11,  step: 12000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 10,  step: 12000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 14,  step: 10000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 6,  step: 10000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 4,  step: 12000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 15,  step: 10000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 3,  step: 11000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 5,  step: 11000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 13,  step: 12000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 9,  step: 11000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 7,  step: 13000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 12,  step: 12000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 8,  step: 11000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 10,  step: 13000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 11,  step: 13000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 4,  step: 13000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 6,  step: 11000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 14,  step: 11000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 3,  step: 12000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 5,  step: 12000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 13,  step: 13000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 7,  step: 14000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 12,  step: 13000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 8,  step: 12000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 9,  step: 12000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 10,  step: 14000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 4,  step: 14000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 6,  step: 12000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 3,  step: 13000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 11,  step: 14000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 13,  step: 14000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 7,  step: 15000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 14,  step: 12000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 5,  step: 13000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 12,  step: 14000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 8,  step: 13000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 9,  step: 13000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 6,  step: 13000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 3,  step: 14000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 13,  step: 15000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 7,  step: 16000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 10,  step: 15000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 4,  step: 15000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 11,  step: 15000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 12,  step: 15000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 14,  step: 13000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 5,  step: 14000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 8,  step: 14000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 9,  step: 14000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 13,  step: 16000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 7,  step: 17000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 6,  step: 14000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 3,  step: 15000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 11,  step: 16000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 10,  step: 16000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 5,  step: 15000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 4,  step: 16000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 12,  step: 16000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 8,  step: 15000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 14,  step: 14000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 9,  step: 15000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 7,  step: 18000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 13,  step: 17000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 11,  step: 17000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 6,  step: 15000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 5,  step: 16000,     T: 64.0,    Energy: 154.855759 kcal/mol
thread: 3,  step: 16000,     T: 45.0,    Energy: 146.920059 kcal/mol
thread: 10,  step: 17000,     T:  0.0,    Energy: 152.846451 kcal/mol
thread: 12,  step: 17000,     T:  0.0,    Energy: 137.818069 kcal/mol
thread: 4,  step: 17000,     T: 54.0,    Energy: 133.834946 kcal/mol
thread: 8,  step: 16000,     T: 98.0,    Energy: 119.468620 kcal/mol
thread: 14,  step: 15000,     T:  0.0,    Energy: 123.894821 kcal/mol
thread: 7,  step: 19000,     T: 86.0,    Energy: 137.716034 kcal/mol
thread: 13,  step: 18000,     T:  0.0,    Energy: 124.753426 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 123.304306 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 136.944305 kcal/mol
thread: 9,  step: 16000,     T:110.0,    Energy: 149.869400 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 163.328171 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 125.990341 kcal/mol
thread: 6,  step: 16000,     T: 74.0,    Energy: 172.182602 kcal/mol
thread: 11,  step: 18000,     T:  0.0,    Energy: 124.268387 kcal/mol
thread: 3,  step: 17000,     T: 45.0,    Energy: 146.920059 kcal/mol
